product_url,name,brand,rating,category,description,size_price,release_date,product_id,maker,features,want_count,have_count
https://www.cosme.net/products/10245099/,トランスルーセントセットフィニッシングパウダー/tfit,tfit,5.5,ベースメイク フェイスパウダー ルースパウダー,長時間「アプリ加工肌」続く*,"7g・1,760円",2023/9/15,10245099,TFIT CLASS,? ヒアルロン酸 アレルギーテスト済,"4,888","8,588"
https://www.cosme.net/products/10232368/,AGE-Rスキンブースターショット/MEDICUBE(メディキューブ),MEDICUBE(メディキューブ),6.2,美容グッズ・美容家電 スキンケアグッズ スキンケア美容家電,手持ちの,"30,800円",-,10232368,APR JAPAN,,"1,530",246
https://www.cosme.net/products/10271786/,コスメデコルテ ＡＱ 毛穴美容液オイル/コスメデコルテ,コスメデコルテ,5.4,スキンケア・基礎化粧品 クレンジング オイルクレンジング スキンケア・基礎化粧品 洗顔料 その他洗顔料,角栓を溶かし崩し、輝きあふれる,"40mL・11,000円",2025/5/16,10271786,コスメデコルテ,? 無鉱物油 アルコールフリー パラベンフリー アレルギーテスト済,"9,644","4,813"
https://www.cosme.net/products/10263025/,スーパーラメラシャンプー&amp;EXモイストトリートメント ＦＯＲ ＤＡＩＬＹ ＤＡＭＡＧＥ/THE ANSWER,THE ANSWER,5.1,ヘアケア・スタイリング シャンプー・コンディショナー シャンプー・コンディショナー,■一部バラエティストア、,8g / 12ml / 220g / 320ml / 400ml (オープン価格),2024/11/2,10263025,花王,? コラーゲン ヒアルロン酸 AHA(フルーツ酸),"13,299","17,627"
https://www.cosme.net/products/10254107/,フィー 3Dボリューミンググロス/fwee(フィー),fwee(フィー),5.4,メイクアップ 口紅・グロス・リップライナー リップグロス,同じカラーを濃度別に30％/70%の２パターン展開、なりたい雰囲気に合わせてチョイス。(全17カラー),"5.3g・1,760円",2024/7/1 (2025/3/28追加発売),10254107,BENOW,,"14,789","36,091"
https://www.cosme.net/products/10252345/,AGE-Rブースタープロ/MEDICUBE(メディキューブ),MEDICUBE(メディキューブ),6.0,美容グッズ・美容家電 スキンケアグッズ スキンケア美容家電,1台6役で実現できるトータルケア,"34,001円",2024/2/7 (2024/10/25追加発売),10252345,APR JAPAN,,"5,833",418
https://www.cosme.net/products/10234175/,サンシェルター マルチ プロテクション トーンアップCC/コスメデコルテ,コスメデコルテ,5.3,ベースメイク 化粧下地・コンシーラー 化粧下地 日焼け対策・UVケア 日焼け止め・UVケア(顔用),SPF50+・PA++++,"35g・3,520円",2023/2/16,10234175,コスメデコルテ,,"80,101","123,843"
https://www.cosme.net/products/10259593/,PDRNピンクアンプル/MEDICUBE(メディキューブ),MEDICUBE(メディキューブ),5.2,スキンケア・基礎化粧品 乳液・美容液など 美容液,肌が食べる,"2,530円",2024/7/10,10259593,APR JAPAN,,"6,016","5,056"
https://www.cosme.net/products/10224408/,AGE-Rダーマエアショット/MEDICUBE(メディキューブ),MEDICUBE(メディキューブ),5.1,美容グッズ・美容家電 スキンケアグッズ スキンケア美容家電,「AGE-Rダーマエアショット」はダーマペンの原理を利用した家庭用,"29,700円",2022/4/9,10224408,APR JAPAN,,"1,402",279
https://www.cosme.net/products/10263023/,PDRN ヒアルロン酸100 セラム/Anua,Anua,5.3,スキンケア・基礎化粧品 乳液・美容液など 美容液 スキンケア・基礎化粧品 化粧水 ブースター・導入液,「PDRN、,"1ml・オープン価格 / 30ml・2,970円",2024/12/16,10263023,The Founders,? コラーゲン ヒアルロン酸 無香料,"11,262","12,604"
